FILE,BAND,FWHM
KiDS_DR1.0_215.0_1.5_g_sci.fits,g,0.7038877
KiDS_DR1.0_215.0_1.5_i_sci.fits,i,0.6227743
KiDS_DR1.0_215.0_1.5_r_sci.fits,r,0.7270243
KiDS_DR1.0_215.0_1.5_u_sci.fits,u,1.135614
KiDS_DR1.0_216.0_-0.5_g_sci.fits,g,0.7457148
KiDS_DR1.0_216.0_-0.5_i_sci.fits,i,0.7181132
KiDS_DR1.0_216.0_-0.5_r_sci.fits,r,0.5025652
KiDS_DR1.0_216.0_-0.5_u_sci.fits,u,0.9438067
KiDS_DR1.0_218.0_1.5_g_sci.fits,g,0.9495274
KiDS_DR1.0_218.0_1.5_i_sci.fits,i,0.7640352
KiDS_DR1.0_218.0_1.5_r_sci.fits,r,0.813384
KiDS_DR1.0_218.0_1.5_u_sci.fits,u,1.1247825
KiDS_DR1.0_218.6_-2.5_g_sci.fits,g,0.8434348
KiDS_DR1.0_218.6_-2.5_i_sci.fits,i,0.5118009
KiDS_DR1.0_218.6_-2.5_r_sci.fits,r,0.5598088
KiDS_DR1.0_218.6_-2.5_u_sci.fits,u,0.9810052
KiDS_DR1.0_219.0_-0.5_g_sci.fits,g,0.6682239
KiDS_DR1.0_219.0_-0.5_i_sci.fits,i,0.6513067
KiDS_DR1.0_219.0_-0.5_r_sci.fits,r,0.6470044
KiDS_DR1.0_219.0_-0.5_u_sci.fits,u,1.046617
KiDS_DR1.0_221.6_2.5_g_sci.fits,g,0.7864564
KiDS_DR1.0_221.6_2.5_i_sci.fits,i,0.8650839
KiDS_DR1.0_221.6_2.5_r_sci.fits,r,0.563393
KiDS_DR1.0_221.6_2.5_u_sci.fits,u,0.8910908
KiDS_DR1.0_222.0_-0.5_g_sci.fits,g,0.8155183
KiDS_DR1.0_222.0_0.5_g_sci.fits,g,0.8655905
KiDS_DR1.0_222.0_-0.5_i_sci.fits,i,0.8149195
KiDS_DR1.0_222.0_0.5_i_sci.fits,i,0.7427343
KiDS_DR1.0_222.0_-0.5_r_sci.fits,r,0.6085948
KiDS_DR1.0_222.0_0.5_r_sci.fits,r,0.5850777
KiDS_DR1.0_222.0_-0.5_u_sci.fits,u,0.8398789
KiDS_DR1.0_222.0_0.5_u_sci.fits,u,0.8490601
KiDS_DR1.0_222.0_-1.5_g_sci.fits,g,0.8743915
KiDS_DR1.0_222.0_-1.5_i_sci.fits,i,0.6698951
KiDS_DR1.0_222.0_-1.5_r_sci.fits,r,0.5449915
KiDS_DR1.0_222.0_-1.5_u_sci.fits,u,0.856841
KiDS_DR1.0_222.6_-2.5_g_sci.fits,g,0.7711109
KiDS_DR1.0_222.6_-2.5_i_sci.fits,i,1.1561079
KiDS_DR1.0_222.6_-2.5_r_sci.fits,r,0.6155672
KiDS_DR1.0_222.6_-2.5_u_sci.fits,u,0.9176322
KiDS_DR1.0_224.6_-2.5_g_sci.fits,g,0.6589421
KiDS_DR1.0_224.6_-2.5_i_sci.fits,i,0.9091067
KiDS_DR1.0_224.6_-2.5_r_sci.fits,r,0.6185312
KiDS_DR1.0_224.6_-2.5_u_sci.fits,u,0.6824486
KiDS_DR1.0_338.6_-33.1_g_sci.fits,g,0.9597528
KiDS_DR1.0_338.6_-33.1_i_sci.fits,i,0.8785622
KiDS_DR1.0_338.6_-33.1_r_sci.fits,r,0.5825247
KiDS_DR1.0_338.6_-33.1_u_sci.fits,u,0.8916599
KiDS_DR1.0_341.0_-33.1_g_sci.fits,g,0.9033086
KiDS_DR1.0_341.0_-33.1_i_sci.fits,i,0.9427368
KiDS_DR1.0_341.0_-33.1_r_sci.fits,r,0.7886419
KiDS_DR1.0_341.0_-33.1_u_sci.fits,u,0.8299408
KiDS_DR1.0_341.2_-32.1_g_sci.fits,g,0.9599455
KiDS_DR1.0_341.2_-32.1_i_sci.fits,i,0.7911451
KiDS_DR1.0_341.2_-32.1_r_sci.fits,r,0.7097363
KiDS_DR1.0_341.2_-32.1_u_sci.fits,u,0.9195974
KiDS_DR1.0_343.4_-33.1_g_sci.fits,g,0.8804317
KiDS_DR1.0_343.4_-33.1_i_sci.fits,i,0.8949294
KiDS_DR1.0_343.4_-33.1_r_sci.fits,r,0.6133875
KiDS_DR1.0_343.4_-33.1_u_sci.fits,u,1.1614656
KiDS_DR1.0_350.6_-32.1_g_sci.fits,g,0.8744399
KiDS_DR1.0_350.6_-32.1_i_sci.fits,i,1.1633807
KiDS_DR1.0_350.6_-32.1_r_sci.fits,r,0.5553367
KiDS_DR1.0_350.6_-32.1_u_sci.fits,u,0.9260627
KiDS_DR1.0_352.9_-32.1_g_sci.fits,g,0.9253717
KiDS_DR1.0_352.9_-32.1_i_sci.fits,i,0.8611843
KiDS_DR1.0_352.9_-32.1_r_sci.fits,r,0.7923637
KiDS_DR1.0_352.9_-32.1_u_sci.fits,u,1.0580278
KiDS_DR1.0_38.4_-34.1_g_sci.fits,g,0.9069459
KiDS_DR1.0_38.4_-34.1_i_sci.fits,i,0.7970377
KiDS_DR1.0_38.4_-34.1_r_sci.fits,r,0.641273
KiDS_DR1.0_38.4_-34.1_u_sci.fits,u,0.8362356
KiDS_DR1.0_43.2_-34.1_g_sci.fits,g,0.8508416
KiDS_DR1.0_43.2_-34.1_i_sci.fits,i,0.7962923
KiDS_DR1.0_43.2_-34.1_r_sci.fits,r,0.7162125
KiDS_DR1.0_43.2_-34.1_u_sci.fits,u,1.0603203
KiDS_DR1.0_48.0_-34.1_g_sci.fits,g,0.7438204
KiDS_DR1.0_48.0_-34.1_i_sci.fits,i,0.8486126
KiDS_DR1.0_48.0_-34.1_r_sci.fits,r,0.7750456
KiDS_DR1.0_48.0_-34.1_u_sci.fits,u,1.0791607
KiDS_DR2.0_129.0_0.5_g_sci.fits,g,0.8078196
KiDS_DR2.0_129.0_0.5_i_sci.fits,i,0.7906538
KiDS_DR2.0_129.0_0.5_r_sci.fits,r,0.952837
KiDS_DR2.0_129.0_0.5_u_sci.fits,u,0.9447541
KiDS_DR2.0_129.0_-1.5_g_sci.fits,g,0.721783
KiDS_DR2.0_129.0_1.5_g_sci.fits,g,0.8018584
KiDS_DR2.0_129.0_-1.5_i_sci.fits,i,0.5883355
KiDS_DR2.0_129.0_1.5_i_sci.fits,i,0.8343323
KiDS_DR2.0_129.0_-1.5_r_sci.fits,r,0.5462597
KiDS_DR2.0_129.0_1.5_r_sci.fits,r,0.7639011
KiDS_DR2.0_129.0_-1.5_u_sci.fits,u,0.8275674
KiDS_DR2.0_129.0_1.5_u_sci.fits,u,0.8196586
KiDS_DR2.0_130.0_-0.5_g_sci.fits,g,0.9085176
KiDS_DR2.0_130.0_0.5_g_sci.fits,g,0.7025212
KiDS_DR2.0_130.0_-0.5_i_sci.fits,i,0.7184656
KiDS_DR2.0_130.0_0.5_i_sci.fits,i,0.6038396
KiDS_DR2.0_130.0_-0.5_r_sci.fits,r,0.7408731
KiDS_DR2.0_130.0_0.5_r_sci.fits,r,0.9447754
KiDS_DR2.0_130.0_-0.5_u_sci.fits,u,1.0169597
KiDS_DR2.0_130.0_0.5_u_sci.fits,u,0.8197654
KiDS_DR2.0_130.0_-1.5_g_sci.fits,g,0.8527498
KiDS_DR2.0_130.0_1.5_g_sci.fits,g,0.7365353
KiDS_DR2.0_130.0_-1.5_i_sci.fits,i,0.9951017
KiDS_DR2.0_130.0_1.5_i_sci.fits,i,0.571842
KiDS_DR2.0_130.0_-1.5_r_sci.fits,r,0.6657395
KiDS_DR2.0_130.0_1.5_r_sci.fits,r,0.9451992
KiDS_DR2.0_130.0_-1.5_u_sci.fits,u,0.7790803
KiDS_DR2.0_130.0_1.5_u_sci.fits,u,1.1019607
KiDS_DR2.0_130.4_2.5_g_sci.fits,g,0.7386772
KiDS_DR2.0_130.4_2.5_i_sci.fits,i,0.7885725
KiDS_DR2.0_130.4_2.5_r_sci.fits,r,0.8321712
KiDS_DR2.0_130.4_2.5_u_sci.fits,u,1.1063762
KiDS_DR2.0_131.0_0.5_g_sci.fits,g,0.703069
KiDS_DR2.0_131.0_0.5_i_sci.fits,i,1.0069358
KiDS_DR2.0_131.0_0.5_r_sci.fits,r,0.8316094
KiDS_DR2.0_131.0_0.5_u_sci.fits,u,0.956025
KiDS_DR2.0_132.0_-0.5_g_sci.fits,g,0.7970962
KiDS_DR2.0_132.0_0.5_g_sci.fits,g,0.8228808
KiDS_DR2.0_132.0_-0.5_i_sci.fits,i,0.795647
KiDS_DR2.0_132.0_0.5_i_sci.fits,i,0.5961311
KiDS_DR2.0_132.0_-0.5_r_sci.fits,r,0.6198968
KiDS_DR2.0_132.0_0.5_r_sci.fits,r,0.5430949
KiDS_DR2.0_132.0_-0.5_u_sci.fits,u,0.9938476
KiDS_DR2.0_132.0_0.5_u_sci.fits,u,0.9252978
KiDS_DR2.0_132.0_1.5_g_sci.fits,g,0.998914
KiDS_DR2.0_132.0_1.5_i_sci.fits,i,0.9302297
KiDS_DR2.0_132.0_1.5_r_sci.fits,r,0.626452
KiDS_DR2.0_132.0_1.5_u_sci.fits,u,0.8801005
KiDS_DR2.0_133.0_-0.5_g_sci.fits,g,0.5987044
KiDS_DR2.0_133.0_0.5_g_sci.fits,g,0.8051147
KiDS_DR2.0_133.0_-0.5_i_sci.fits,i,0.5162694
KiDS_DR2.0_133.0_0.5_i_sci.fits,i,0.8736729
KiDS_DR2.0_133.0_-0.5_r_sci.fits,r,0.7182987
KiDS_DR2.0_133.0_0.5_r_sci.fits,r,0.5126998
KiDS_DR2.0_133.0_-0.5_u_sci.fits,u,0.9727591
KiDS_DR2.0_133.0_0.5_u_sci.fits,u,1.0542776
KiDS_DR2.0_133.0_1.5_g_sci.fits,g,0.915404
KiDS_DR2.0_133.0_1.5_i_sci.fits,i,0.8902128
KiDS_DR2.0_133.0_1.5_r_sci.fits,r,0.6582021
KiDS_DR2.0_133.0_1.5_u_sci.fits,u,0.849222
KiDS_DR2.0_133.4_2.5_g_sci.fits,g,0.8608199
KiDS_DR2.0_133.4_2.5_i_sci.fits,i,0.5619381
KiDS_DR2.0_133.4_2.5_r_sci.fits,r,0.5896108
KiDS_DR2.0_133.4_2.5_u_sci.fits,u,1.1952573
KiDS_DR2.0_134.0_-0.5_g_sci.fits,g,0.8108549
KiDS_DR2.0_134.0_-0.5_i_sci.fits,i,0.6143425
KiDS_DR2.0_134.0_-0.5_r_sci.fits,r,0.9418189
KiDS_DR2.0_134.0_-0.5_u_sci.fits,u,1.0719138
KiDS_DR2.0_135.0_1.5_g_sci.fits,g,0.7152293
KiDS_DR2.0_135.0_1.5_i_sci.fits,i,0.4831898
KiDS_DR2.0_135.0_1.5_r_sci.fits,r,0.9068322
KiDS_DR2.0_135.0_1.5_u_sci.fits,u,0.9711544
KiDS_DR2.0_135.4_2.5_g_sci.fits,g,0.7749642
KiDS_DR2.0_135.4_2.5_i_sci.fits,i,0.9765461
KiDS_DR2.0_135.4_2.5_r_sci.fits,r,0.6666802
KiDS_DR2.0_135.4_2.5_u_sci.fits,u,0.929804
KiDS_DR2.0_136.0_-0.5_g_sci.fits,g,0.7874477
KiDS_DR2.0_136.0_0.5_g_sci.fits,g,0.9731806
KiDS_DR2.0_136.0_-0.5_i_sci.fits,i,0.9863604
KiDS_DR2.0_136.0_0.5_i_sci.fits,i,0.8221028
KiDS_DR2.0_136.0_-0.5_r_sci.fits,r,0.7254376
KiDS_DR2.0_136.0_0.5_r_sci.fits,r,0.6679053
KiDS_DR2.0_136.0_-0.5_u_sci.fits,u,1.1205597
KiDS_DR2.0_136.0_0.5_u_sci.fits,u,0.919925
